INDEX,NAME,URL,REVIEW,Address,Location,Column1,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url2,WebsiteUrl,Award,FacilitiesAndServices
2139,Vinkeles,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/vinkeles,"The stylish Vinkeles is housed in what was once the bakery of an 18C Roman Catholic almshouse. Wooden and stone remnants merge seamlessly with tasteful contemporary comfort. This unique setting inspires Jurgen van der Zalm to create contemporary cuisine with an eye for detail.
The talented chef brings classic culinary know-how, international influences, playfulness and exciting creativity to the table. If you order the Anjou pigeon or the turbot, you can be sure that it will be cooked to perfection and that the sauces will be intense and delicate. The goose liver gratinated with 100% chocolate and served with an almond crème caramel demonstrates that he also masters modern techniques.
The balance between the two is always carefully maintained by Jurgen van der Zalm, who cooks with respect for the work of Dennis Kuipers, who used to be head chef here. It makes for dishes that are both heart-warming and surprising. Vinkeles offers the best of both worlds and will keep you coming back for more.","Keizersgracht 384, Amsterdam, 1016 GB, Netherlands",Amsterdam, Netherlands,€€€€,"Creative, Classic Cuisine",4.8839959,52.3692878,31205302010,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/vinkeles,https://www.vinkeles.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card"
2141,THE DUCHESS,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/the-duchess,,"Spuistraat 172, Amsterdam, 1012 VT, Netherlands",Amsterdam, Netherlands,€€€,"French, Mediterranean Cuisine",4.8894578,52.3728921,31208113322,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/the-duchess,http://the-duchess.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
2151,The White Room by Jacob Jan Boerma,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/the-white-room-by-jacob-jan-boerma,"You can imagine yourself as an Austrian prince or princess in this white and gold dining room, which dates from 1885 and magnificently combines classical elegance with modern furnishings. Citrus flavours and exotic spices are combined in a creative interplay. The chef is a strong technician and understands what refinement really means.","Dam 9, Amsterdam, 1012 JS, Netherlands",Amsterdam, Netherlands,€€€€,Modern Cuisine,4.894229,52.372726,31205549454,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/the-white-room-by-jacob-jan-boerma,https://www.restaurantthewhiteroom.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access"
2157,MOS,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/mos,"The interior is relaxed and chic, the large windows offer a fantastic view of the IJ river, and the food is delicious. MOS is sublime. The chef shows how a little creativity conjures up a variety of prominent flavours, producing balanced combinations that are both rich and refined. Guests are advised to ask about parking when reserving.","IJdok 185, Amsterdam, 1013 MM, Netherlands",Amsterdam, Netherlands,€€€,Creative French,4.895512,52.383797,31206380866,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/mos,https://mosamsterdam.nl/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card"
2158,Bougainville,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/bougainville,"In Bougainville, a top-class fine dining experience awaits you. Warm fabrics, luxurious design and bronze tones come together in a setting that is intimate and romantic. The contrast with the features of this historical building is indeed something to behold, and the magnificent view of Dam Square is equally remarkable. Tim Golsteijn's cuisine is in keeping with the sophisticated surroundings.
He marries flavours from East and West with a creativity that is all his own. For this chef, technical skill and culinary instinct go hand in hand. He effortlessly balances the intensity of ingredients such as Thai green curry and za'atar spices with delicate French aromas. Chef Golsteijn does not shy away from daring combinations, but always ensures that the flavours enhance each other. A fine example of this is the perfectly pan-seared foie gras served with a Madeira wine jus and frozen raspberry pearls. An interplay of flavours, textures and temperatures that you won't be able to get enough of!
Every visit to Bougainville brings a fascinating discovery. And it is made all the more exciting by the sommelier's amazing discoveries.","Dam 27, Amsterdam, 1012 JS, Netherlands",Amsterdam, Netherlands,€€€€,Modern Cuisine,4.8931716,52.3725511,31202182180,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/bougainville,https://restaurantbougainville.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Valet parking,Visa credit card"
2169,Graphite by Peter Gast,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/graphite-by-peter-gast,"Take the QR code you are given when you make your reservation, go to Paardenstraat and look for the door with a scanner, which leads to this mysterious speakeasy restaurant. After a drink in the cocktail bar, head for the intimate and discreet dining room, where Peter Gast combines traditional techniques with inventive ideas, applying his technical ability and know-how with plenty of feeling. Intriguing!","Paardenstraat 15, Amsterdam, 1017 CX, Netherlands",Amsterdam, Netherlands,€€€,Creative,4.8982799,52.366685,31618829580,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/graphite-by-peter-gast,https://graphite.amsterdam/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card"
2170,De Kas,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/de-kas,,"Kamerlingh Onneslaan 3, Amsterdam, 1097 DE, Netherlands",Amsterdam, Netherlands,€€€,Organic,4.9302753,52.3522847,31204624562,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/de-kas,https://restaurantdekas.com/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
2171,Le Restaurant,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/le-restaurant258041,Le Restaurant is as diverse and lively as its surrounding De Pijp neighbourhood. Don’t let the somewhat anonymous façade fool you as inside you will find a cosy restaurant with an informal bistro feel. Jan de Wit's formula for success remains the same: a simple but spectacular menu. The best of market produce is prepared without too much fuss and plated up in its authentic form to convince diners with its powerful flavours. The price-pleasure ratio is spot on.,"Frans Halsstraat 26H, Amsterdam, 1072 BR, Netherlands",Amsterdam, Netherlands,€€€€,Market Cuisine,4.8887745,52.357802,31203792207,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/le-restaurant258041,https://www.le-restaurant.nl/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
2175,Lars Amsterdam,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/lars-amsterdam,"Combining an industrial vibe with an intimate living room feel, Lars is situated at the end of the Houthavens and boasts stunning views across the water. In the kitchen, the ambitious Lars Scharp plays with French traditions and fresh Asian flavours to create bold contemporary dishes that are a world away from traditional cuisine.","Danzigerkade 179, Amsterdam, 1013 AP, Netherlands",Amsterdam, Netherlands,€€€,Modern French,4.874658,52.4013525,31202149729,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/lars-amsterdam,https://www.larsamsterdam.nl/,1 MICHELIN Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card"
2176,Wils,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/wils,"Buzzy, bright and bold, Wils, Amsterdam’s take on a brasserie, is both spacious and intimate. The cocktail bar is irresistibly trendy. Chef Bijdendijk and his team deploy their talent and skill to great effect and frequently offer vegetarian dishes. A culinary experience depicted by a felicitous chaos of flavours and textures. You will love this relaxed eatery!","Stadionplein 26, Amsterdam, 1076 CM, Netherlands",Amsterdam, Netherlands,€€€,World Cuisine,4.856129,52.3433421,31202366522,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/wils,https://www.restaurantwils.nl/,1 MICHELIN Star,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access"
2178,Zoldering,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/zoldering,"One chef and three wine-enthusiasts share their joie de vivre in this lively neighbourhood bistro, where you can enjoy a good glass of wine (one of the best selections in the city) and simple, unfussy cuisine (à la carte only). The restaurant delights guests with its modern take on French cuisine, in which ingredients are skilfully combined with original flair. Delightful!","Utrechtsestraat 141h, Amsterdam, 1017 VM, Netherlands",Amsterdam, Netherlands,€€,Modern French,4.8993625,52.361354,31207651212,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/zoldering,https://www.zoldering.nl/,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card"
2183,De Juwelier,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/de-juwelier,"Richard van Oostenbrugge and Thomas Groot’s retro-style bistro is full of character. Here, guests choose from an à la carte menu featuring lesser-known ingredients such as veal kidneys in dishes which are traditionally influenced yet also contemporary in style. An excellent restaurant in which to enjoy intensely flavoured sauces, top-quality ingredients and all the finesse of French cuisine.","Utrechtsestraat 51, Amsterdam, 1017 VJ, Netherlands",Amsterdam, Netherlands,€€€,Modern French,4.8982025,52.3642868,31202471007,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/de-juwelier,https://www.restaurant-dejuwelier.nl,1 MICHELIN Star,"Air conditioning,American Express credit card,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
2186,Daalder,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/daalder-1200903,"With its neon lighting, bold graphics, street art and night-club atmosphere, Daalder’s new home in Het Sieraad will leave a lasting impression. Here, the strong personality of Dennis Huwaë, who can be seen hard at work on his cooking platform, is evident in every detail, with his Indonesian roots and Asian influences feeding his creativity. Subtle, intense and occasionally complex cuisine that is always explosive. A fascinating culinary experience!","Postjesweg 1, Amsterdam, 1057 DT, Netherlands",Amsterdam, Netherlands,€€€€,Creative,4.8595734,52.3645161,31206248864,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/daalder-1200903,https://daalderamsterdam.nl/daalder,1 MICHELIN Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card"
5453,Café Caron,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/cafe-caron,"This cosy bistro is run by Alain Caron (a well-known TV personality and chef) and his family. The ambience here is typically French, as is the menu which features traditional, generous bistro-style dishes which are a work of art in their own right. Trying out the à la carte here is a real joy.","Frans Halsstraat 28, Amsterdam, 1072 BS, Netherlands",Amsterdam, Netherlands,€€,Classic French,4.8887114,52.3574102,31206758668,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/cafe-caron,https://cafecaron.nl/,Bib Gourmand,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
5466,Serre,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/serre,,"Ferdinand Bolstraat 333, Amsterdam, 1072 LH, Netherlands",Amsterdam, Netherlands,€€,Modern Cuisine,4.8939984,52.3486469,31206788300,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/serre,https://www.okura.nl/dine-and-drink/serre/,Bib Gourmand,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Valet parking,Visa credit card,Wheelchair access"
5470,Brasserie van Baerle,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/brasserie-van-baerle,"There is no getting around it: wine is part of the core business of this elegant, ever-inviting luxury brasserie. The impressive selection of wines by the glass and extensive drinks menu will impress even the most seasoned connoisseur. Classics from the brasserie repertoire are served up here with great attention to detail and a sense of generosity. The steak tartare is a real crowd pleaser.","Van Baerlestraat 158, Amsterdam, 1071 BG, Netherlands",Amsterdam, Netherlands,€€,Classic Cuisine,4.881296,52.3539359,31206791532,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/brasserie-van-baerle,https://brasserievanbaerle.nl/,Bib Gourmand,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card"
5489,Scheepskameel,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/scheepskameel,,"Kattenburgerstraat 7, gebouw 24, Amsterdam, 1018 JA, Netherlands",Amsterdam, Netherlands,€€,Traditional Cuisine,4.9145821,52.3736022,31203379680,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/scheepskameel,https://scheepskameel.nl/,Bib Gourmand,"Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
5490,A-Fusion,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/a-fusion,"This intimate restaurant will entice you with its array of Chinese, Japanese, Thai and Korean dishes. On entering, you will see sushi being made to order, and as you go further in you will notice the barbecue and the dim sum and wok kitchen. Thanks to the reasonably priced à la carte menu and small dishes, you can try everything. Deep flavours, spices, umami, super fresh fish... a real gem of Asian cuisine!","Zeedijk 130, Amsterdam, 1012 BC, Netherlands",Amsterdam, Netherlands,€,Asian,4.900192,52.3731878,31203304068,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/a-fusion,https://a-fusion.nl/,Bib Gourmand,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
5503,Umami by Han,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/umami-by-han-548421,"Renowned chef Han Ji has created a recipe for success at Umami, a bright, contemporary restaurant in which he concocts high-flying Asian fusion cuisine. The range of tasting sensations is suitably impressive, ranging from sweet to savoury and crunchy and smooth in intense dishes full of flavour and colour. An irresistibly exotic experience!","Overtoom 31H, Amsterdam, 1054 HB, Netherlands",Amsterdam, Netherlands,€,Chinese,4.8774061,52.3631681,31202801379,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/umami-by-han-548421,https://umami-restaurant.com/,Bib Gourmand,"American Express credit card,Counter dining,Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
5506,Marie,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/marie,,"Nieuwe Doelenstraat 2, Amsterdam, 1012 AC, Netherlands",Amsterdam, Netherlands,€€,Classic Cuisine,4.8943852,52.3674471,31205311619,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/marie,https://marieamsterdam.com/,Bib Gourmand,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
5538,Domenica,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/domenica,"Domenica’s outdoor terrace is the ideal place to sit and enjoy the lively atmosphere of the Jordaan district. This restaurant is popular with locals, who come here for the Mediterranean cuisine heavily influenced by Italy, featuring dishes such as traditional linguini with a delicious sauce or the restaurant’s own take on ceviche, all bursting with flavour. The owner has a real passion for wine, which he happily shares with guests.","Noordermarkt 7, Amsterdam, 1015 MV, Netherlands",Amsterdam, Netherlands,€€,"Mediterranean Cuisine, Italian",4.887348,52.3801212,31207746720,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/domenica,http://www.restaurantdomenica.com,Bib Gourmand,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card"
5540,Arles,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/arles,"This attractive bistro brings a touch of Provence to Amsterdam, with framed photos of the chef's native city Arles adorning the walls. The chef, a fan of jazz music, creates neo-bistro-style dishes which offer a fresh reinterpretation of familiar French flavours. The fixed-price menu, which changes every month, is a real winner!","Govert Flinckstraat 251, Amsterdam, 1073 BX, Netherlands",Amsterdam, Netherlands,€€,Modern French,4.8981164,52.3563139,31206798240,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/arles,https://www.arles-amsterdam.nl/,Bib Gourmand,"Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card"
5544,Auberge Jean & Marie,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/auberge-jean-marie,"Whether you choose to go to the back of the restaurant to select your own bottle from the wine cellar or you ask Jan and Marije for their exceptional advice, you’ll be spoilt for choice in this delightfully informal restaurant which is perfect for wine lovers. Rich and tasty traditional French cuisine with the occasional contemporary twist accompanies these fine wines.","Albert Cuypstraat 58, Amsterdam, 1072 CV, Netherlands",Amsterdam, Netherlands,€€,French,4.8896283,52.3548882,31208452005,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/auberge-jean-marie,https://www.aubergeamsterdam.nl/,Bib Gourmand,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card"
5547,Rijsel,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/rijsel,"The interior of this lively establishment resembles a classroom, and indeed this building was once a home economics school. Today you can see the 'master' at work preparing his lesson in French gastronomy thanks to the open kitchen. He has a sound knowledge of his ingredients and incorporates a nod to Flemish cuisine into his no-nonsense dishes. Whether you order the intensely flavoured typical Southern French fish soup or côte de bœuf served with a house-made béarnaise sauce and fried potatoes: at Rijsel, every dish is a feast!","Marcusstraat 52b, Amsterdam, 1091 TK, Netherlands",Amsterdam, Netherlands,€€,Traditional Cuisine,4.912873,52.351624,31204632142,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/rijsel,https://rijsel.com/,Bib Gourmand,"Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card"
5555,Fa. Pekelhaaring,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/fa-pekelhaaring,"Welcome to the urban canteen of a number of Amsterdam’s local residents – a relaxed eatery without unnecessary sophistication, but one which is both authentic and welcoming. The cuisine is influenced (but not exclusively) by Italy and the chef enjoys adding his own variations and personal touches (such as crunchy textures and local influences) to his cooking. The varied à la carte is impressive indeed!","Van Woustraat 127, Amsterdam, 1074 AH, Netherlands",Amsterdam, Netherlands,€€,"Mediterranean Cuisine, Italian-American",4.9026838,52.3532904,31206790460,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/fa-pekelhaaring,https://www.pekelhaaring.nl/,Bib Gourmand,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card"
5561,Oriole,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/oriole-1200932,"Oriole is a peaceful haven amid the hustle and bustle of the city centre. The decor in this luxurious brasserie is truly splendid (especially the stunning bar), but a table on the terrace is a real must. This hidden treasure offers a contemporary version of Mediterranean flavours (with particular attention paid to vegetables), that matches the setting perfectly. Purity, finesse and passion combine here to create a festival of southern flavours.","Oudezijds Voorburgwal 197, Amsterdam, 1012 EX, Netherlands",Amsterdam, Netherlands,€€,Modern Cuisine,4.8952853,52.371037,31205553570,https://guide.michelin.com/en/noord-holland/amsterdam/restaurant/oriole-1200932,http://www.oriolebistro.nl,Bib Gourmand,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card"
